komentar,timestamp,sentiment
"Dari awal emang gak pernah menyesal memilih Pak Prabowo, dari awal lihat Proker-nya aja udah buat saya kagum dan terlebih cara berpikir dan tindakan beliau ini benar-benar membuat saya tercengang saking bagus dan hebatnya. Beliau juga merakyat, mungkin faktor TNI juga. Ya intinya saya bangga banget punya Pak Presiden seperti Pak Prabowo dan saya juga bangga sama Gerindra!",2024-12-31 15:05:15+00:00,positif
"Listrik diskon 50% beneran😭 barusan ngisi token 100rb biasanya dapat 63kwh,ini ngisi 100rb dapat 126kwh😭🫶🏻🫶🏻",2025-01-01 01:59:42+00:00,positif
"haduh pak kacau2, anak abah gada bahan lagi buat goreng sampe gosong, mereka pasti gabisa tidur.",2024-12-31 15:48:12+00:00,negatif
"aku mah ikut aja min, kasian kamu min pusing ditanyain ini itu udh kaya google😔",2024-12-31 15:12:18+00:00,negatif
"tapi aku suka kalo terbuka begini diumumin. ga diem"" dari media",2024-12-31 16:46:18+00:00,negatif
"pajak naik gak masalah.. selama itu uang pajaknya tepat di alokasikan kemana, ga di korup , dan yg pasti UNTUK KEPENTINGAN BANGSA DAN NEGARA BUKAN PEJABAT",2024-12-31 14:03:59+00:00,negatif
Disinilah literasi masy indo di uji pas baca caption mindra,2024-12-31 14:24:32+00:00,negatif
"padahal tiap mau tahun baru itu memang semua sembako naik.. Dan harusnya nggak jadi Hal baru buat masyarakat...
tapi kok dikaitkan sama ppn 12% ya😁",2025-01-01 01:31:22+00:00,negatif
min...harga sembako pada naik..!!tolong disidak para pedagang dipasar..,2025-01-01 07:06:19+00:00,negatif
BACA CAPT WOY SAMPE BAWAH,2025-01-01 04:25:53+00:00,netral
"saya gapernh menyesal memilih bapak, meskipun banyak isu diluaran sana saya tetap membela bapak😭.saking cintanya saya dan percaya sekali bapak adalah orang yang baik.. sehat selalu ya pak ,jangan capek""",2025-01-01 03:25:37+00:00,positif
sayangnya masih banyak orang yg ga paham,2024-12-31 17:21:18+00:00,netral
"kado indah awal tahun, tarif pln diskon 50%, rakyat jg ikut merasakan 😊",2025-01-01 08:43:56+00:00,positif
"hello para UMKM pastikan lg harga barang kalian, krn pengumuman presiden kan hanya brg mewah, jd klo di luar brg mewah ttp naik harus segera di laporkan, biar tdk ada kerugian untuk rakyat2 menengah",2025-01-01 01:00:04+00:00,negatif
guaa gapernah mau ikut2an soal ini si karena gua percaya bapak pastiiii bisa handle dan menyelesaikan ini.. makasih bapak❤️,2025-01-02 00:38:30+00:00,negatif
kok banyak yg ga paham ya..harus pake bahasa apa biar rakyatnya mengerti dan paham..hadeuhh,2024-12-31 14:27:19+00:00,netral
dijelasin sedetail-detail nya ya min😭😭,2025-01-01 05:47:31+00:00,netral
"gue posting ulang video ini biar anak abah
itu tau",2024-12-31 18:51:12+00:00,negatif
sabar ya min menghadapi anak abah☺️👍mimin pasti kuat💪titip salam buat pak prabowo😁🙏,2024-12-31 13:58:13+00:00,netral
2025 ganti rakyat.,2025-01-01 01:26:33+00:00,positif
"mimin udah ketik panjang lebar, keterlaluan masih ada yg ga ngerti😭😭😭... tpi kalo ada yg ngerasa dipotong 12% setelah membeli berarti mereka mampu sesuai caption mimin.. beli jet 😂😂😂",2024-12-31 16:00:46+00:00,netral
omg🥺🥺🥺 pak 🫰🏻🫰🏻🫰🏻,2024-12-31 14:21:15+00:00,positif
anak abah: ku kan menghilang dalam kehampaan😹😹,2025-01-02 00:02:20+00:00,negatif
caption nya panjang tuhhh dibaca coba dengan seksama 🤭,2025-01-01 10:38:43+00:00,netral
"mimin keren ngetik ampe detail kaya gitu,,tp sayang min dr 18k komen lebih yg baca caption lu cuman 500 netizen doang😭😭",2024-12-31 19:01:36+00:00,negatif
awas aja pada ga baca🫵🏻,2024-12-31 14:15:12+00:00,netral
2025 GANTI RAKYAT,2024-12-31 21:37:46+00:00,positif
2025 ganti rakyat 🤣,2025-01-01 01:36:46+00:00,positif
klo pak prabowo benar membela rakyat .sy doakn bpk sht dan pnjng umur,2024-12-31 22:09:30+00:00,positif
"admin gerindra setia jawabin komen, mana ketikan titik komanya pas bgt lagi sesuai kbbi😭",2025-01-01 01:22:02+00:00,netral
keknya cape bgt jadi admin gerindra😂😭,2025-01-01 02:29:59+00:00,netral
"tuhkan bener, ga mungkin semua naik 12% udah yakin gw pasti yang naik barang mewah, sama plek pajak orang menengah ke atas itu pajaknya lebih gede dibanding menengah kebawah, gunanya untuk pemerataan",2024-12-31 21:05:57+00:00,negatif
alhamdulillah indomie gw kgk naik cuy 🥰🥰👏👏,2025-01-01 03:08:07+00:00,positif
"Min kenapa harga ikan murah ya, kasian para nelayan",2024-12-31 12:47:52+00:00,netral
kok keren si anjr mimin gwrindra ini dah😭,2025-01-01 05:00:36+00:00,netral
"terima kasih pak, aku barusan isi token 200rb 2x isi dengan daya 1300 dapet kwh 269 😭 ku pikir cm bisa isi sekali ternyata dicoba 2x bisa dapet 50% jg",2025-01-01 15:50:39+00:00,negatif
"SEMOGA PAJAKNYA GA ADA YANG DIKORUPSI, BISA DIGUNAKAN SEMESTINYA",2024-12-31 13:13:21+00:00,netral
sbg admin swalayan. sukurlah ga ikut naik jd 12%. cape weh ngitung modalnya klo iya mah😭 diganti modal baru semua wkwkw,2024-12-31 19:07:45+00:00,negatif
"baru kali ini sy sepercaya ini sama presiden klo beliau pasti bakal tulus dan kasih yg terbaik buat rakyat,sy percaya bapak bisa.sy sebagai rakyat hanya bisa mendukung dan mendoakan yg terbaik 🙏",2024-12-31 14:03:04+00:00,netral
min turunkan uang Panai kami di suku Bugis uang Panai nya gak ngotak 🗿,2024-12-31 13:58:33+00:00,negatif
kalo bapak prabowo sdang brbicara. aq slalu dengarkan baik2 dengan kpala dingiin.. loveyou pakk.. aku prcya appun kputusan bpk itu yg trbaik bwt bgsa,2024-12-31 14:38:55+00:00,negatif
"yah tadinya mau beli BMW M4, ngk jadi deh. bukan karena PPN naik, tapi ngk ada uangnya 🗿",2024-12-31 16:22:15+00:00,negatif
"minta tolong min dra, lebih di perhatikan lagi para petani kita,,,, harga pupuk pada mahal tapi harga sayur sangat murah,,,,kami hanya mengandalkan hidup dari hasil kebun,,, walaupun ada program bantuan buat para petani cuman masih gak ngaruh di plosok².
semoga ada kecerahannya dan solusi agar lebih sejahtera para petani Indonesia kedepannya!
TERIMAKASIH PAK PRABOWO",2024-12-31 14:44:30+00:00,negatif
"Prabowo p nya apa
pria sejati
pria jujur
pria pekerja keras
pahlawan ku
pria menepati janji kepada rakyatnya
🙏🙏",2025-01-01 02:33:34+00:00,positif
"Banyak yang salah paham terhadap kebijakan baru ini ya minn,pasti mimin capek🥺",2024-12-31 15:20:43+00:00,negatif
"Perbedaan lembaga
Eksekutif = presiden & Menteri-menteri
Legislatif = DPR, MPR, DPD
Yudikatif = Hakim, mahkamah agung
nah presiden ga ada hak kalo masalah Yudikatif karna presiden itu E",2025-01-01 02:12:36+00:00,netral
"min mau minta saran, kalau kami beli apa apa ternyata menemukan ada oknum yang menaikan harga karena dibilang Ppn jadi 12 persen (bkn brg mewah), kami harus bagaimana ya min?",2025-01-01 04:26:44+00:00,negatif
KANGEN 2024 😭😭😭,2024-12-31 19:22:01+00:00,negatif
tapi min di lapangan banyak juga menaikkan harga meskipun tdk termasuk kena pajak 12%.. alasannya juga gitu pajaknya naik..,2024-12-31 16:47:30+00:00,negatif
pak prabowo sudah melakukan hal yang benar.. cuma para pedagang yg menaikan hrga sendiri.. karna adanya informasi kenaikan,2025-01-01 06:13:51+00:00,negatif
lagian kalo beneran naik khan cuma naik 2 persen kalo harga 20.000 cuma jadi 20.200 jadi kenaikan barang sembako dll itu bukan karna kenaikan PPN tapi memang dari pedagang atau produsen,2025-01-01 10:57:25+00:00,negatif
"pasti bapak cape ya pakk, jangan lupa istirahat ya pak🥺",2024-12-31 17:36:49+00:00,netral
betul gula aja udah naik 17.5 saya sebagai yg punya kedai sudah merasakan.harus sidak ke pasar takut ikut pada naik.padahal ini hanya untuk barang mewah,2025-01-01 01:29:31+00:00,negatif
selamat tahun baru min,2024-12-31 12:53:13+00:00,positif
"kalo demi bangsa dan negara bagiku tidak masalah karna waktu sekolah aku terbantu oleh program kartu ip trus waktu operasi aku terbantu oleh kiss,darimana itu kalo bukan dari pajak,.",2024-12-31 23:15:37+00:00,negatif
"mindra yang semangat ya menghadapi berbagai macam masyarakat Indonesia, yang kuat ya mindra😀",2025-01-01 04:53:15+00:00,positif
istirahat ya pak😓,2024-12-31 23:30:16+00:00,positif
"min tolong hapuskan pajak 10% bagi para pedagang micro. kasian org mau makan aja d kasih pajak. kt sbgai pdg mau naikkan harga jg mikir2, kasian sm konsumen. smg aja d balas",2024-12-31 22:29:48+00:00,negatif
"Banyak yang gagal faham ,dikiranya naik semua 12%
barang2 , astaghfirullah...
padahal hanya tertentu saja yg naik,itupun naik 1% dari 11%",2024-12-31 14:43:26+00:00,negatif
buat yang bilang harga sembako pada naik. itu wajar ya karna memang sedari dulu kalau tahun baru/ ramadhan/ lebaran memang naik loh...,2025-01-01 00:48:36+00:00,negatif
"min, kamu gen z ya?😭😭",2025-01-01 02:59:31+00:00,negatif
Semangattt minn jelasinnnya emangg kalau ga dijelasinn suka pada salah paham😭,2025-01-01 04:10:42+00:00,netral
min tolong listik di turunin. masa token PLN beli 100 dpt cuma 60 RB,2025-01-01 02:32:42+00:00,negatif
"real ihh yg beras 10kg/bulan, ayah ku juga dpt 😍🫶",2025-01-01 02:06:38+00:00,positif
"Cek Kenyataan Di Lapangan Min!!!
Cek Pasar Tradisional Apakah Real Kenaikan Itu Untuk Barang Mewah
Agar Tujuan Presiden Selaras Bukan Jadi Malah Jadi Imbas oke",2025-01-01 06:04:11+00:00,negatif
"kasian admin GERINDRA sampe ngetik panjang dan jelas di caption nya🥺 tapi masi banyak orang yang gk paham/mls membacanya,",2024-12-31 13:58:24+00:00,netral
SEMANGAT TERUS BAPA PRABOWO HARUS BISA BAWA BANGSA INI MENJADI SANGATT maju🥳💪💪,2025-01-01 01:50:24+00:00,positif
"min mksh berkat program pa prabowo sy bsa kerja stlh nganggur lama, kbtln sy krja di relawan makan siang gratis untuk anak sklh dg gaji 1,2 sdh alhamdulillah skli sy dr kab kuningan🥰",2025-01-02 05:19:04+00:00,positif
"pernah ada yg bilang ke gw ""memang PPN 12% itu buat orang kaya tapi kan pedagang di sekitar bakalan ngikut naik."", bro kalo misalkan pedagang mau naik itu hak dia dan bebas dia ngasih harga berapa aja",2024-12-31 13:14:30+00:00,negatif
Semenjak presiden pak Prabowo setiap ada masalah dan ketika rakyat gk setuju langsung didengar sama admin Gerindra dan langsung di kasih solusi 😁 gk kayak dulu makasih pak,2025-01-01 16:17:13+00:00,positif
"tolong di informasi kan ke atasan min, per tanggal 1 ini, harga obat dll di pertanian mulai naik, sedangkan itu kebutuhan masyarakat kecil, tolong di kordinasi kan lagi, daerah Kaltim, kutai kartanega",2025-01-01 03:56:47+00:00,negatif
duh...gimana kabar orang sekitar saya yang pada postang posting tolak kenaikan PPN...,2025-01-01 01:56:19+00:00,negatif
"jujur aja, gw ga kangen sekolah🗿",2025-01-01 03:44:24+00:00,netral
"min tolong didata ulang yang dapat bantuan bansos, masa yang muda"" dapet,disini yg dapet masih mudah dan masih mampu bekerja yang dapet,nanti jadi males bekerja dan ngarepin bansos terus 😌",2025-01-01 00:18:05+00:00,positif
@Remmyxy: yang bilang harga sembako naik ya emng setiap hari besar bahan sembako naik,2024-12-31 18:21:00+00:00,negatif
"biasain tonton sampe abis ya gaes, klo gamau ribet liat caption nya ajaa",2025-01-01 01:30:32+00:00,negatif
min tolong kasih turun harga berat badan☺️,2024-12-31 17:45:25+00:00,negatif
bio nyaa😭🙏🏻,2024-12-31 17:42:52+00:00,positif
"tinggal di sidak aja di lapangan ke pasar pasar contoh paling prioritas , sebab sebagian bahan pokok sudah ada yang naik harga nya",2025-01-01 01:00:01+00:00,positif
min kamu kok sabar bgtt sih ngerespon semuanya aku tau loh min kamu capek aku aja kalau di posisimu bakal muak banget 😭,2024-12-31 17:16:56+00:00,negatif
"min saran aja sih minta di cek lg, bbrp perusahaan yg punya karyawan gajinya dibawah 10jt udh kena ppn diam"" bahkan ada yg lbh dr 12%, dr sejak bulan september 2024. semoga di sosialisasi lg min, kasian mereka gajinya cuma 4jt dipotong""",2024-12-31 23:12:08+00:00,negatif
"ini gerindra abis ini menyelidiki ya pls, atau ga kasi informasi yang singkat dan jelas, MASA MAKANAN PADA NAIK YANG JUAL BILNH KRNA PPN 12% apalagi di pasar 😭😭😔😔",2025-01-01 00:12:39+00:00,positif
"Yang pada bilang harga sembako udah naikk, bapak ibuk sekaliaannn, biasa nyaa jugaa hari2 besar psti sembako pada naikkkkk 😭😭😭😭 apalagi ini rentetan bangett, natal, tahun baru, imlek, puasa, lebaran. Ya Allah 😭😭😭😭",2025-01-01 03:46:22+00:00,negatif
omon omon aja😁😁,2024-12-31 12:58:30+00:00,netral
"paa karyawan retail kesian pak kerja shift2an tp ga dbyr lembur, dtmbh klo tgl merah gblh libur🥹",2025-01-01 16:01:51+00:00,netral
gelooo detail bangett miinn menyalaaa🤙,2024-12-31 13:29:05+00:00,netral
WiFi juga kenapa naik ppn nya pak😭😭,2025-01-01 14:14:15+00:00,positif
"Alhamdulillah terima kasih tolong apabila sudah ditetapkan, mohon diperiksa di lapangan keadaan yg sebenarnya guna mengurangi oknum2 curang",2024-12-31 17:53:43+00:00,negatif
"ayo kampanyein, buat produsen yg ga terkait brg mewah kembaliin harga dasarnya ke awal",2024-12-31 16:54:00+00:00,negatif
Admin Gerindra bisa kuat ya reply komen para masyarakat Indonesia. semangat Admin gerindra 🥰🥰🥰👍👍👍,2025-01-01 00:22:55+00:00,positif
"admin gerindra mengusai semua elemen 😂,sehat selalu admin",2024-12-31 20:34:28+00:00,positif
Min caption nya simpan di komentar biar bisa di copy paste ☺️,2024-12-31 18:32:53+00:00,netral
min lebih keren motor scoopy atau vario?,2024-12-31 12:53:23+00:00,negatif
"tahun depan gw balik yaa, bye...",2024-12-31 16:39:38+00:00,positif
absen sebelum tahun baru 🎆🎇🎉,2024-12-31 14:30:18+00:00,positif
"admin Gerindra sudah mulai aktif kembali, menyala wii❤️‍🔥",2025-01-01 04:09:44+00:00,positif
"kenapa bukan namanya ppnBM yang naik, malah di tulis ppn dalam undang undang",2024-12-31 13:08:39+00:00,negatif
"Sudah Naik Semua Min, baik barang mewah maupun bukan barang mewah semuanya Naik",2024-12-31 14:43:41+00:00,negatif
"min kamu harus tahu dilapangannya sekarang kebutuhan kaya skincare,makeup,banyak deh pokoknya yang kecil² gitu juga udah naik 😭",2024-12-31 21:16:36+00:00,netral
"baca caption serasa baca koran, panjanggggg, mantap min, auto share.",2024-12-31 23:20:20+00:00,positif
ini kalo semisal di lapangan nggak sesuai lapornya keman ya?,2025-01-01 01:44:10+00:00,negatif
"Aktual di lapangan berbeda, banyak penyedia jasa menaikkan PPN sebelum keluarnya pengumuman resmi dari Presiden. Tolong di kroscek ke lapangan min",2025-01-01 02:30:32+00:00,positif
Ijin bapak presiden saya belanja untuk jualan diwarung kata penjualnya harganya dinaikan persiapan ppn 12% kalau sdh ga jadi naik ini bagaimana bapak mohon petunjuk 😭,2024-12-31 16:31:42+00:00,negatif
"eta harusnya teh diralat ""besok PPnBM naik 12%"" bukan ""PPN besok naik 12%"" kalo kalimatnya begini beberapa orang masih bisa berasumsi bahwa yang naik itu PPN bukan PPnBM, meskipun pak prabowo sudah menjelaskan sedemikian rupa.",2025-01-01 03:25:22+00:00,negatif
hidup jendrallku bapak prabowoo,2025-01-01 01:15:12+00:00,positif
"Udah PPN 12% gajadi naik, trus bayar listrik 50% selama 2 bulan .. lope sekebon bapak ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️",2025-01-01 08:48:46+00:00,negatif
